entry_time,exit_time,signal,entry_price,exit_price,ai_probability,decision,status,pnl,pnl_pct,reason
2026-08-11 12:08:00,2026-08-11 12:18:00,BUY,101.4264,102.7822,0.7957,ACCEPT,DETERIORATING,1.3558,1.3367,LTQ decreased; Bid support weakened
2026-08-11 15:50:00,2026-08-11 16:00:00,SELL,98.9557,97.9998,0.8894,ACCEPT,DETERIORATING,0.9559,0.966,LTQ decreased; Ask pressure weakened
2026-08-11 17:10:00,2026-08-11 17:20:00,BUY,100.0065,101.218,0.7653,ACCEPT,DETERIORATING,1.2115,1.2114,LTQ decreased; Bid support weakened
2026-08-11 18:35:00,2026-08-11 18:40:00,SELL,98.9535,99.5955,0.6809,ACCEPT,EXIT,-0.6421,-0.6489,LTQ decreased; Ask pressure weakened; Price moved above entry
2026-08-11 19:33:00,2026-08-11 19:43:00,BUY,101.5683,103.1587,0.9394,ACCEPT,ACCEPT,1.5903,1.5658,
2026-08-11 21:06:00,2026-08-11 21:16:00,SELL,99.1965,97.9615,0.7089,ACCEPT,DETERIORATING,1.2351,1.2451,LTQ decreased; Ask pressure weakened
2026-08-12 00:20:00,2026-08-12 00:30:00,BUY,99.6712,101.0526,0.8614,ACCEPT,DETERIORATING,1.3813,1.3859,Bid support weakened; Price moved below entry
2026-08-12 09:02:00,2026-08-12 09:12:00,BUY,111.9129,113.3166,0.7571,ACCEPT,DETERIORATING,1.4037,1.2543,LTQ decreased; Bid support weakened
2026-08-12 15:27:00,2026-08-12 15:37:00,SELL,118.7248,116.5661,0.8389,ACCEPT,DETERIORATING,2.1588,1.8183,LTQ decreased; Ask pressure weakened
2026-08-12 17:26:00,2026-08-12 17:36:00,BUY,119.2384,119.699,0.6146,ACCEPT,DETERIORATING,0.4606,0.3862,LTQ decreased; Bid support weakened
2026-08-13 02:59:00,2026-08-13 03:09:00,BUY,119.908,121.5384,0.8927,ACCEPT,DETERIORATING,1.6304,1.3597,LTQ decreased; Price moved below entry
2026-08-13 07:41:00,2026-08-13 07:51:00,SELL,122.5716,121.5121,0.6563,ACCEPT,DETERIORATING,1.0595,0.8644,LTQ decreased; Ask pressure weakened
2026-08-13 11:09:00,2026-08-13 11:15:00,BUY,124.1113,124.0915,0.7201,ACCEPT,EXIT,-0.0198,-0.016,LTQ decreased; Bid support weakened; Price moved below entry
2026-08-13 16:52:00,2026-08-13 17:02:00,BUY,120.8489,121.7317,0.667,ACCEPT,DETERIORATING,0.8829,0.7306,LTQ decreased; Bid support weakened
2026-08-13 17:19:00,2026-08-13 17:24:00,SELL,118.1224,118.2325,0.8091,ACCEPT,EXIT,-0.1101,-0.0932,LTQ decreased; Ask pressure weakened; Price moved above entry
2026-08-13 18:51:00,2026-08-13 18:54:00,BUY,120.5223,120.4606,0.8392,ACCEPT,EXIT,-0.0618,-0.0512,LTQ decreased; Bid support weakened; Price moved below entry
2026-08-14 03:34:00,2026-08-14 03:44:00,BUY,119.9227,120.8264,0.6802,ACCEPT,DETERIORATING,0.9037,0.7536,LTQ decreased; Bid support weakened
2026-08-14 05:24:00,2026-08-14 05:34:00,BUY,119.4434,120.551,0.7207,ACCEPT,DETERIORATING,1.1076,0.9273,LTQ decreased; Bid support weakened
2026-08-14 13:15:00,2026-08-14 13:25:00,BUY,109.2581,110.7593,0.7256,ACCEPT,DETERIORATING,1.5012,1.374,LTQ decreased; Bid support weakened
2026-08-14 15:52:00,2026-08-14 16:02:00,BUY,111.287,111.3672,0.6416,ACCEPT,ACCEPT,0.0801,0.072,
